10/01/2024,OTHERS
11/01/2024,MEETING
12/01/2024,TRAINING
13/01/2024,NA
14/01/2024,NA
15/01/2024,OTHERS
16/01/2024,ANNUAL_LEAVE
17/01/2024,TRAINING
18/01/2024,AVAILABLE
19/01/2024,AVAILABLE
20/01/2024,NA
21/01/2024,NA
22/01/2024,OTHERS
23/01/2024,OTHERS
24/01/2024,TRAINING
25/01/2024,TRAINING
26/01/2024,TRAINING
27/01/2024,NA
28/01/2024,NA
29/01/2024,MEETING
30/01/2024,MEETING
31/01/2024,TRAINING
01/02/2024,OTHERS
02/02/2024,OTHERS
03/02/2024,NA
04/02/2024,NA
05/02/2024,AVAILABLE
06/02/2024,TRAINING
07/02/2024,MEETING
08/02/2024,OTHERS
09/02/2024,TRAINING
10/02/2024,NA
11/02/2024,NA
12/02/2024,AVAILABLE
13/02/2024,MEETING
14/02/2024,AVAILABLE
15/02/2024,AVAILABLE
16/02/2024,TRAINING
17/02/2024,NA
18/02/2024,NA
19/02/2024,OTHERS
20/02/2024,MEETING
21/02/2024,TRAINING
22/02/2024,OTHERS
23/02/2024,MEDICAL_LEAVE
24/02/2024,NA
25/02/2024,NA
26/02/2024,TRAINING
27/02/2024,AVAILABLE
28/02/2024,MEETING
29/02/2024,TRAINING
01/03/2024,OTHERS
02/03/2024,NA
03/03/2024,NA
04/03/2024,TRAINING
05/03/2024,AVAILABLE
06/03/2024,TRAINING
07/03/2024,TRAINING
08/03/2024,MEETING
09/03/2024,NA
10/03/2024,NA
11/03/2024,AVAILABLE
12/03/2024,TRAINING
13/03/2024,AVAILABLE
14/03/2024,MEETING
15/03/2024,MEETING
16/03/2024,NA
17/03/2024,NA
18/03/2024,AVAILABLE
19/03/2024,OTHERS
20/03/2024,AVAILABLE
21/03/2024,MEETING
22/03/2024,OTHERS
23/03/2024,NA
24/03/2024,NA
25/03/2024,MEETING
26/03/2024,TRAINING
27/03/2024,AVAILABLE
28/03/2024,MEETING
29/03/2024,NA
30/03/2024,NA
31/03/2024,NA
01/04/2024,MEETING
02/04/2024,MEETING
03/04/2024,OTHERS
04/04/2024,OTHERS
05/04/2024,AVAILABLE
06/04/2024,NA
07/04/2024,NA
08/04/2024,TRAINING
09/04/2024,OTHERS
10/04/2024,OTHERS
11/04/2024,MEETING
12/04/2024,MEETING
13/04/2024,NA
14/04/2024,NA
15/04/2024,AVAILABLE
16/04/2024,AVAILABLE
17/04/2024,OTHERS
18/04/2024,TRAINING
19/04/2024,OTHERS
20/04/2024,NA
21/04/2024,NA
22/04/2024,AVAILABLE
23/04/2024,OTHERS
24/04/2024,OTHERS
25/04/2024,AVAILABLE
26/04/2024,MEETING
27/04/2024,NA
28/04/2024,NA
29/04/2024,MEETING
30/04/2024,TRAINING
01/05/2024,NA
02/05/2024,MEDICAL_LEAVE
03/05/2024,OTHERS
04/05/2024,NA
05/05/2024,NA
06/05/2024,MEETING
07/05/2024,AVAILABLE
08/05/2024,TRAINING
09/05/2024,OTHERS
10/05/2024,OTHERS
11/05/2024,NA
12/05/2024,NA
13/05/2024,MEETING
14/05/2024,MEETING
15/05/2024,TRAINING
16/05/2024,AVAILABLE
17/05/2024,OTHERS
18/05/2024,NA
19/05/2024,NA
20/05/2024,OTHERS
21/05/2024,OTHERS
22/05/2024,OTHERS
23/05/2024,OTHERS
24/05/2024,OTHERS
25/05/2024,NA
26/05/2024,NA
27/05/2024,AVAILABLE
28/05/2024,AVAILABLE
29/05/2024,MEETING
30/05/2024,MEETING
31/05/2024,MEDICAL_LEAVE
01/06/2024,NA
02/06/2024,NA
03/06/2024,MEETING
04/06/2024,AVAILABLE
05/06/2024,TRAINING
06/06/2024,TRAINING
07/06/2024,AVAILABLE
08/06/2024,NA
09/06/2024,NA
10/06/2024,MEETING
11/06/2024,MEETING
12/06/2024,AVAILABLE
13/06/2024,MEETING
